Country Name,Dependent variable Crime Rate,"2022  GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (national estimate)",Urban land area (sq. km),Population density (people per sq. km of land area 2021),Individuals using the Internet (% of population)2022,"Primary completion rate, total (% of relevant age group 2021)",Sex ratio at birth (male births per female births) 2022,rate*(guns per 100 people,globalpeace index (1-5)
Pakistan,42.3,6112.32472,5.55,39082.022,300.179168,32.9486,68.2330017,1.055,1.5,2.783
Panama,43.7,36169.5862,8.281,1070.98079,58.6582232,73.6085,94.7757721,1.055,26.3,2.14
Papua New Guinea,79.9,4409.23263,2.689,415.397969,21.970227,26.991,92.57,1.077,16.7,2.315
Paraguay,50.8,16284.6953,6.755,1320.83127,16.8733929,76.2592,98.97,1.05,22.3,2.044
Peru,67.6,16363.0864,4.291,3457.86793,26.3402117,74.675,102.253258,1.041,10.8,2.179
Philippines,42.7,9983.28775,2.598,12151.4653,381.930872,75.2111,91.1019974,1.077,2,2.21
Poland,29.2,46720.573,2.811,14773.8047,123.316315,86.9411,96,1.06,3.6,1.678
Portugal,31.5,44484.2973,6.011,4165.14668,113.113511,84.4969,104.018021,1.055,1,1.372
Puerto Rico,62,45559.2045,6,2390.73135,367.834611,87.2918,85.77,1.052,2.5,2.548
Qatar,14.8,121124.663,0.13,678.053201,233.963011,100,94.96,1.039,28.5,1.656
Romania,32,42973.1897,5.614,5124.83438,83.110479,85.5031,88.9321899,1.055,21.3,1.755
Russian Federation,39.3,40957.7695,3.867,52886.9549,8.83848757,90.418,100,1.057,16.7,3.249
Rwanda,27.6,3065.14536,15.084,1506.22574,545.678476,34.4405,87.8254776,1.026,16.7,2.12
Saudi Arabia,24.6,54251.6379,5.589,7756.63413,16.7235257,100,96.4636307,1.051,2.6,2.206
Serbia,38.2,25057.4195,8.439,2323.39062,81.2739446,83.5383,98.6582413,1.069,12.3,1.93
Singapore,29.2,141796.102,3.591,454.083843,7595.49582,95.9539,100.557983,1.06,0.5,1.339
Slovak Republic,31.4,41057.0922,6.143,1805.38636,113.295487,89.0677,92.1480179,1.054,16.7,1.634
Slovenia,24.2,51281.8575,4.011,804.81157,104.689964,88.9125,97.1798477,1.064,6.6,1.395
Somalia,68.6,1554.60323,19.13,1451.27476,27.2030813,27.6,61,1.044,0.3,3.091
South Africa,75.4,15330.7693,33.268,15118.6621,48.9594795,74.703,97.0137482,1.04,12,2.507
Spain,35.7,48685.4963,12.917,15655.0694,94.8822088,94.4855,99.1650314,1.063,12.4,1.597
Sri Lanka,41.4,14182.3082,4.528,3627.8305,358.163595,50.1067,98.5569992,1.044,39.1,2.195
Sudan,46.5,3532.07031,7.53,3789.64447,24.441757,28.7045,62.3,1.041,6.5,3.327
Sweden,48.5,68088.1933,7.392,4064.22826,25.573857,95.0097,99.8192215,1.057,15.6,1.782
Switzerland,23.6,90746.4533,4.122,4016.81507,220.314541,96.8046,95.4812088,1.051,23.1,1.35
Syrian Arab Republic,68.8,4919,,5092.25018,116.126815,35.8,55.752491,1.052,8.2,3.173
Tanzania,55.5,3751.16675,2.61,5282.86997,71.7863333,31.8913,72.5660019,1.03,15.1,1.987
Thailand,38.7,22213.7994,0.94,19506.6609,140.149745,87.9772,99.9929962,1.064,3.2,2.048
Trinidad and Tobago,70.6,29910.1426,4.383,812.960868,297.400195,79.9843,98.4,1.041,1.1,2.092
Tunisia,44.6,13253.3906,15.301,2877.94864,78.9324537,73.8379,97.1743622,1.052,16.5,2.044
Turkiye,40.1,38355.154,10.465,15460.6882,109.334769,83.4372,103.435623,1.051,0.8,2.78
Uganda,54.9,2920.66477,2.93,3854.11814,228.674337,10.8,54.3,1.029,0.8,2.477
Ukraine,46.7,16080.2285,9.48,16271.295,75.6799896,80.2,89.2898788,1.063,9.9,3.28
United Arab Emirates,15.1,78915.2548,2.873,2263.10505,131.866305,100,107.8,1.046,34.7,1.897
United Kingdom,46.9,56761.5173,3.73,22675.9763,277.048287,95.3412,98.9380569,1.055,120.5,1.703
United States,49,77246.6739,3.65,186573.447,36.299741,97.1299,101.091278,1.048,0.4,2.622
Uruguay,52.7,32746.3153,7.877,1017.87137,19.5763913,89.873,100.50354,1.056,18.5,1.893
Uzbekistan,33.5,9042.34392,4.54,15432.2025,79.2349082,83.9,99.8679962,1.08,1.6,1.957
"Venezuela, RB",82.6,7266,5.75,6248.97413,31.9708259,61.6,90,1.053,23.9,2.821
Viet Nam,44.5,14051.2488,1.523,28615.4061,310.973232,78.59,117.8,1.111,9.7,1.802
Zambia,48.8,3864.89437,5.995,2079.1351,26.1950322,31.2342,82.61,1.011,0.9,1.948
Zimbabwe,60.5,3660.8355,10.087,2024.4859,41.3429598,32.5615,86.0999985,1.024,2.8,2.396
